ride_id,user_id,start_station,start_ts,weekday,is_weekend,is_holiday,month,planned_duration_min,weather,temp_bucket,wind_bucket,event_nearby,station_congestion_base,network_congestion_index,user_tardiness_propensity,late_return
R00054,U1109,S1,2024-02-14 11:26:00,2,0,0,2,25,sun,warm,calm,0,0.818,0.957,0.171,1
R00055,U2360,S2,2024-06-25 18:18:00,1,0,0,6,17,sun,warm,calm,0,0.238,1.0,0.114,0
R00056,U1199,S1,2024-05-13 08:24:00,0,0,0,5,44,sun,cold,breezy,0,0.818,0.994,0.122,0
R00057,U2257,S5,2024-06-19 12:47:00,2,0,0,6,38,clouds,warm,calm,0,0.0,0.973,0.1,0
R00058,U2326,S1,2024-06-19 18:35:00,2,0,0,6,23,sun,warm,breezy,0,0.818,1.0,0.088,0
R00059,U1192,S3,2024-01-20 08:27:00,5,1,0,1,34,sun,cold,calm,0,0.178,0.989,0.007,0
R00060,U1717,S2,2024-03-23 10:44:00,5,1,0,3,21,clouds,warm,breezy,0,0.238,1.0,0.072,0
R00061,U2936,S2,2024-05-14 18:29:00,1,0,0,5,41,rain,mild,calm,0,0.238,1.0,0.008,1
R00062,U1914,S1,2024-01-02 10:38:00,1,0,0,1,47,wind,mild,calm,0,0.818,0.998,0.014,1
R00063,U1685,S1,2024-03-22 11:38:00,4,0,0,3,46,rain,cold,calm,0,0.818,1.0,0.385,1
R00064,U2862,S4,2024-05-03 23:44:00,4,0,0,5,41,sun,mild,calm,0,0.106,1.0,0.044,0
R00065,U2309,S2,2024-05-22 09:19:00,2,0,0,5,32,sun,mild,breezy,0,0.238,0.993,0.168,0
R00066,U2272,S1,2024-03-15 09:31:00,4,0,0,3,45,clouds,warm,calm,0,0.818,0.961,0.056,0
R00067,U2192,S1,2024-06-04 19:13:00,1,0,0,6,30,sun,warm,breezy,0,0.818,1.0,0.157,1
R00068,U1875,S1,2024-05-01 09:26:00,2,0,1,5,11,sun,cold,calm,0,0.818,0.957,0.122,0
R00069,U1451,S4,2024-01-09 22:00:00,1,0,0,1,19,rain,cold,windy,0,0.106,1.0,0.032,1
R00070,U2505,S1,2024-02-19 19:07:00,0,0,0,2,18,sun,cold,windy,0,0.818,1.0,0.037,1
R00071,U1018,S2,2024-06-17 19:19:00,0,0,0,6,29,clouds,warm,calm,0,0.238,1.0,0.088,0
R00072,U2942,S2,2024-01-01 09:59:00,0,0,1,1,39,sun,cold,calm,0,0.238,1.0,0.025,0
R00073,U2866,S2,2024-01-20 11:42:00,5,1,0,1,24,clouds,mild,windy,0,0.238,0.972,0.09,1
R00074,U2246,S2,2024-03-03 18:39:00,6,1,0,3,31,rain,cold,calm,0,0.238,1.0,0.05,0
R00075,U1159,S4,2024-06-27 07:48:00,3,0,0,6,24,sun,warm,calm,0,0.106,0.995,0.07,0
R00076,U2664,S1,2024-05-06 19:13:00,0,0,0,5,47,rain,mild,calm,0,0.818,1.0,0.056,1
R00077,U1629,S1,2024-01-27 18:59:00,5,1,0,1,28,sun,mild,calm,0,0.818,1.0,0.248,1
R00078,U2886,S1,2024-03-11 18:41:00,0,0,0,3,16,sun,warm,windy,0,0.818,1.0,0.013,1
R00079,U1902,S2,2024-06-18 09:25:00,1,0,0,6,25,sun,cold,calm,0,0.238,1.0,0.009,1
R00080,U1091,S2,2024-02-09 17:32:00,4,0,0,2,25,wind,cold,windy,0,0.238,0.986,0.012,1
R00081,U1652,S1,2024-04-13 19:20:00,5,1,0,4,26,sun,cold,breezy,0,0.818,1.0,0.036,0
R00082,U2229,S1,2024-03-24 07:24:00,6,1,0,3,21,sun,mild,calm,0,0.818,1.0,0.2,0
R00083,U2592,S1,2024-05-16 18:55:00,3,0,0,5,37,sun,cold,breezy,0,0.818,1.0,0.064,1
R00084,U1879,S5,2024-05-15 07:36:00,2,0,0,5,47,rain,mild,calm,0,0.0,1.0,0.128,0
R00085,U2654,S1,2024-05-29 22:31:00,2,0,0,5,23,clouds,warm,breezy,0,0.818,1.0,0.033,0
R00086,U2626,S1,2024-01-22 08:13:00,0,0,0,1,21,clouds,cold,calm,0,0.818,1.0,0.043,0
R00087,U2805,S5,2024-03-22 07:48:00,4,0,0,3,26,sun,mild,calm,0,0.0,1.0,0.089,0
R00088,U2787,S5,2024-05-04 16:58:00,5,1,0,5,37,sun,mild,calm,0,0.0,0.969,0.045,1
R00089,U1933,S5,2024-03-16 08:48:00,5,1,0,3,18,sun,mild,calm,0,0.0,1.0,0.167,0
R00090,U1395,S4,2024-04-30 09:26:00,1,0,0,4,46,sun,mild,calm,0,0.106,1.0,0.052,1
R00091,U1012,S2,2024-04-24 09:53:00,2,0,0,4,23,clouds,mild,windy,0,0.238,0.971,0.059,0
R00092,U2379,S1,2024-03-07 19:34:00,3,0,0,3,22,wind,warm,calm,1,0.818,1.0,0.112,0
R00093,U1159,S1,2024-01-19 08:22:00,4,0,0,1,33,clouds,cold,breezy,0,0.818,0.991,0.07,0
R00094,U2359,S1,2024-06-23 18:06:00,6,1,0,6,12,clouds,mild,calm,0,0.818,1.0,0.044,0
R00095,U1819,S1,2024-05-28 18:35:00,1,0,0,5,40,sun,warm,breezy,0,0.818,1.0,0.118,1
R00096,U2425,S3,2024-06-10 19:52:00,0,0,0,6,73,sun,warm,breezy,0,0.178,1.0,0.043,0
R00097,U1851,S1,2024-02-23 14:59:00,4,0,0,2,56,sun,mild,windy,0,0.818,0.983,0.267,1
R00098,U1334,S1,2024-02-26 08:40:00,0,0,0,2,37,clouds,cold,breezy,0,0.818,1.0,0.021,1
R00099,U2787,S4,2024-02-28 22:18:00,2,0,0,2,39,sun,cold,windy,0,0.106,1.0,0.045,0
R00100,U1712,S3,2024-01-06 18:05:00,5,1,0,1,26,sun,warm,breezy,0,0.178,1.0,0.089,0
R00101,U1576,S1,2024-01-31 22:41:00,2,0,0,1,27,clouds,mild,calm,0,0.818,1.0,0.101,1
R00102,U2493,S1,2024-02-25 17:25:00,6,1,0,2,17,sun,cold,calm,0,0.818,0.973,0.095,1
R00103,U2798,S1,2024-06-26 18:25:00,2,0,0,6,22,sun,mild,calm,0,0.818,1.0,0.045,1
R00104,U2655,S1,2024-02-06 21:15:00,1,0,0,2,19,clouds,mild,calm,0,0.818,1.0,0.48,0
R00105,U1342,S2,2024-04-01 13:04:00,0,0,1,4,35,sun,warm,windy,0,0.238,0.981,0.093,1
R00106,U2690,S3,2024-04-08 23:29:00,0,0,0,4,25,rain,mild,breezy,0,0.178,1.0,0.095,1
R00107,U1223,S1,2024-03-05 08:23:00,1,0,0,3,24,sun,warm,breezy,0,0.818,0.973,0.096,1
R00108,U1522,S3,2024-06-14 10:24:00,4,0,0,6,29,sun,cold,breezy,0,0.178,1.0,0.131,1
R00109,U1088,S3,2024-01-17 12:06:00,2,0,0,1,31,clouds,cold,breezy,0,0.178,0.983,0.116,0
R00110,U2444,S3,2024-06-05 11:46:00,2,0,0,6,40,sun,warm,calm,0,0.178,0.964,0.23,0
R00111,U1191,S2,2024-05-13 13:36:00,0,0,0,5,16,sun,warm,calm,0,0.238,1.0,0.093,0
R00112,U1127,S5,2024-02-25 17:34:00,6,1,0,2,29,sun,cold,calm,0,0.0,1.0,0.033,1
R00113,U2160,S2,2024-05-18 19:03:00,5,1,0,5,42,sun,mild,breezy,0,0.238,1.0,0.028,0
R00114,U2389,S3,2024-03-18 18:26:00,0,0,0,3,40,sun,mild,calm,0,0.178,1.0,0.058,0
R00115,U1718,S3,2024-06-23 12:21:00,6,1,0,6,63,sun,warm,calm,0,0.178,1.0,0.071,1
R00116,U1541,S1,2024-01-07 11:10:00,6,1,0,1,26,clouds,mild,breezy,0,0.818,1.0,0.168,1
R00117,U1566,S2,2024-01-06 17:55:00,5,1,0,1,38,sun,cold,breezy,0,0.238,1.0,0.077,0
R00118,U2609,S2,2024-04-07 19:56:00,6,1,0,4,12,sun,warm,breezy,0,0.238,1.0,0.077,0
R00119,U2578,S4,2024-06-16 18:55:00,6,1,0,6,27,sun,warm,calm,0,0.106,1.0,0.059,0
R00120,U2691,S1,2024-01-12 12:18:00,4,0,0,1,25,sun,mild,breezy,1,0.818,1.0,0.123,0
R00121,U1488,S2,2024-05-20 08:10:00,0,0,0,5,43,sun,mild,calm,0,0.238,1.0,0.052,1
R00122,U1611,S3,2024-06-17 22:03:00,0,0,0,6,36,clouds,mild,breezy,0,0.178,1.0,0.086,0
R00123,U1688,S1,2024-03-28 08:32:00,3,0,0,3,21,sun,mild,calm,0,0.818,0.988,0.074,0
R00124,U2656,S4,2024-06-05 19:17:00,2,0,0,6,23,sun,warm,breezy,0,0.106,1.0,0.033,0
R00125,U2568,S2,2024-05-16 12:54:00,3,0,0,5,19,rain,warm,calm,0,0.238,0.987,0.112,1
R00126,U1710,S1,2024-02-08 12:11:00,3,0,0,2,39,clouds,cold,breezy,0,0.818,1.0,0.034,0
R00127,U2936,S1,2024-06-02 17:56:00,6,1,0,6,35,sun,mild,calm,0,0.818,1.0,0.008,1
R00128,U1912,S5,2024-05-05 11:22:00,6,1,0,5,12,rain,warm,calm,0,0.0,1.0,0.08,1
R00129,U2207,S3,2024-01-03 08:53:00,2,0,0,1,16,clouds,cold,breezy,0,0.178,0.963,0.009,0
R00130,U2872,S2,2024-04-12 18:49:00,4,0,0,4,25,sun,mild,calm,0,0.238,1.0,0.053,1
R00131,U1877,S5,2024-04-27 06:41:00,5,1,0,4,39,clouds,mild,calm,0,0.0,1.0,0.034,0
R00132,U2730,S1,2024-05-24 09:22:00,4,0,0,5,14,clouds,mild,calm,0,0.818,1.0,0.121,0
R00133,U1698,S1,2024-05-18 18:44:00,5,1,0,5,32,clouds,mild,calm,0,0.818,1.0,0.157,1
R00134,U2712,S2,2024-03-26 11:27:00,1,0,0,3,20,rain,warm,calm,1,0.238,1.0,0.187,0
R00135,U2476,S1,2024-02-23 17:57:00,4,0,0,2,27,clouds,cold,calm,0,0.818,0.987,0.148,0
R00136,U2176,S1,2024-02-04 11:47:00,6,1,0,2,29,clouds,mild,calm,0,0.818,0.99,0.057,0
R00137,U1618,S1,2024-01-17 11:33:00,2,0,0,1,28,rain,cold,calm,0,0.818,0.952,0.127,1
R00138,U1469,S1,2024-04-25 12:30:00,3,0,0,4,11,sun,mild,calm,0,0.818,1.0,0.053,0
R00139,U2962,S3,2024-06-21 18:04:00,4,0,0,6,93,clouds,warm,calm,0,0.178,1.0,0.039,0
R00140,U2164,S4,2024-01-15 09:43:00,0,0,0,1,45,sun,cold,breezy,0,0.106,1.0,0.048,0
R00141,U2049,S4,2024-05-06 22:48:00,0,0,0,5,29,rain,mild,calm,0,0.106,1.0,0.173,1
R00142,U1817,S3,2024-04-15 13:28:00,0,0,0,4,21,clouds,warm,calm,0,0.178,1.0,0.136,1
R00143,U1932,S5,2024-01-31 12:26:00,2,0,0,1,29,sun,mild,calm,0,0.0,0.972,0.051,0
R00144,U2091,S2,2024-02-08 17:20:00,3,0,0,2,21,clouds,cold,calm,0,0.238,1.0,0.08,0
R00145,U1946,S5,2024-02-21 14:32:00,2,0,0,2,26,wind,cold,calm,0,0.0,1.0,0.071,1
R00146,U1711,S2,2024-05-03 18:30:00,4,0,0,5,43,clouds,mild,windy,0,0.238,1.0,0.111,0
R00147,U1086,S2,2024-02-23 20:50:00,4,0,0,2,22,sun,cold,calm,0,0.238,1.0,0.083,0
R00148,U2726,S1,2024-05-29 18:58:00,2,0,0,5,32,clouds,cold,breezy,0,0.818,1.0,0.135,1
R00149,U2212,S2,2024-03-07 16:17:00,3,0,0,3,41,clouds,cold,breezy,0,0.238,1.0,0.132,0
R00150,U1326,S1,2024-01-20 18:06:00,5,1,0,1,39,sun,mild,breezy,0,0.818,1.0,0.124,1
R00151,U1258,S5,2024-01-18 12:31:00,3,0,0,1,29,clouds,cold,calm,0,0.0,1.0,0.176,1
R00152,U2758,S2,2024-03-13 19:53:00,2,0,0,3,21,sun,mild,calm,0,0.238,1.0,0.13,1
R00153,U2704,S1,2024-03-14 09:13:00,3,0,0,3,53,sun,mild,calm,0,0.818,1.0,0.011,0
R00154,U2394,S3,2024-05-12 08:37:00,6,1,0,5,49,rain,cold,calm,0,0.178,1.0,0.177,1
R00155,U1641,S1,2024-03-27 18:04:00,2,0,0,3,22,clouds,cold,breezy,0,0.818,1.0,0.023,1
R00156,U1774,S3,2024-01-30 09:58:00,1,0,0,1,33,rain,mild,breezy,0,0.178,0.945,0.047,0
R00157,U1821,S1,2024-02-08 17:08:00,3,0,0,2,19,sun,cold,breezy,0,0.818,1.0,0.145,0
R00158,U2781,S3,2024-04-11 08:14:00,3,0,0,4,22,sun,warm,calm,0,0.178,1.0,0.028,0
R00159,U2003,S4,2024-03-01 09:15:00,4,0,0,3,54,sun,mild,windy,0,0.106,1.0,0.132,0
R00160,U1281,S4,2024-04-30 17:22:00,1,0,0,4,22,rain,mild,windy,0,0.106,1.0,0.036,0
R00161,U2319,S2,2024-06-15 18:46:00,5,1,0,6,25,sun,warm,calm,0,0.238,1.0,0.017,1
R00162,U1532,S1,2024-03-04 22:06:00,0,0,0,3,33,clouds,warm,calm,0,0.818,1.0,0.023,0
R00163,U2293,S5,2024-04-09 09:08:00,1,0,0,4,28,sun,mild,calm,0,0.0,1.0,0.029,0
R00164,U1693,S1,2024-05-29 07:03:00,2,0,0,5,31,sun,cold,calm,0,0.818,0.988,0.004,1
R00165,U1697,S1,2024-02-07 08:05:00,2,0,0,2,34,clouds,cold,breezy,0,0.818,0.982,0.019,0
R00166,U2828,S1,2024-04-01 13:27:00,0,0,1,4,12,rain,mild,calm,0,0.818,1.0,0.032,1
R00167,U1737,S3,2024-02-24 09:11:00,5,1,0,2,34,sun,cold,calm,0,0.178,0.988,0.007,0
R00168,U2886,S1,2024-04-22 18:05:00,0,0,0,4,28,rain,cold,calm,0,0.818,1.0,0.013,1
R00169,U2422,S1,2024-05-13 08:41:00,0,0,0,5,10,sun,cold,calm,0,0.818,1.0,0.067,1
R00170,U1028,S1,2024-01-26 22:36:00,4,0,0,1,22,rain,cold,breezy,0,0.818,1.0,0.075,0
R00171,U1111,S5,2024-02-03 18:03:00,5,1,0,2,38,rain,cold,calm,0,0.0,1.0,0.106,1
R00172,U2460,S2,2024-01-05 19:33:00,4,0,0,1,35,clouds,cold,calm,0,0.238,1.0,0.118,0
R00173,U1508,S2,2024-01-03 09:22:00,2,0,0,1,29,rain,warm,calm,0,0.238,1.0,0.084,0
R00174,U2555,S1,2024-01-10 07:56:00,2,0,0,1,20,rain,cold,calm,0,0.818,1.0,0.019,1
R00175,U2729,S2,2024-05-07 10:42:00,1,0,0,5,33,sun,warm,calm,0,0.238,1.0,0.037,1
R00176,U1387,S2,2024-06-11 17:54:00,1,0,0,6,23,sun,warm,windy,0,0.238,0.978,0.057,0
R00177,U2577,S1,2024-03-14 16:39:00,3,0,0,3,25,sun,warm,calm,0,0.818,1.0,0.081,0
R00178,U2487,S1,2024-06-07 13:17:00,4,0,0,6,14,sun,warm,calm,0,0.818,0.966,0.056,0
R00179,U2655,S3,2024-05-11 07:25:00,5,1,0,5,19,sun,mild,calm,0,0.178,0.964,0.48,0
R00180,U1568,S2,2024-05-25 22:55:00,5,1,0,5,40,rain,cold,calm,0,0.238,1.0,0.045,1
R00181,U1513,S2,2024-05-13 07:43:00,0,0,0,5,38,clouds,cold,breezy,0,0.238,0.994,0.074,1
R00182,U2147,S1,2024-02-05 06:03:00,0,0,0,2,23,sun,cold,breezy,0,0.818,1.0,0.291,0
R00183,U2652,S3,2024-04-04 13:12:00,3,0,0,4,17,wind,warm,calm,0,0.178,0.918,0.016,0
R00184,U1573,S2,2024-04-04 11:43:00,3,0,0,4,42,sun,cold,calm,0,0.238,0.988,0.076,0
R00185,U1889,S4,2024-04-25 14:25:00,3,0,0,4,22,sun,mild,calm,0,0.106,0.954,0.057,0
R00186,U2277,S4,2024-05-23 19:34:00,3,0,0,5,45,clouds,warm,calm,0,0.106,1.0,0.067,0
R00187,U2246,S2,2024-01-21 18:27:00,6,1,0,1,28,clouds,cold,calm,0,0.238,1.0,0.05,1
R00188,U2286,S1,2024-05-01 16:21:00,2,0,1,5,18,sun,mild,calm,0,0.818,0.994,0.032,0
R00189,U2509,S1,2024-05-29 08:20:00,2,0,0,5,34,rain,warm,breezy,0,0.818,0.968,0.045,1
R00190,U1061,S3,2024-01-21 10:49:00,6,1,0,1,23,wind,cold,calm,0,0.178,1.0,0.364,1
R00191,U1195,S1,2024-03-15 18:27:00,4,0,0,3,22,wind,mild,calm,0,0.818,1.0,0.041,0
R00192,U2818,S2,2024-06-10 08:21:00,0,0,0,6,26,clouds,mild,calm,0,0.238,0.991,0.012,1
R00193,U2874,S3,2024-01-05 11:55:00,4,0,0,1,16,clouds,cold,breezy,0,0.178,0.984,0.089,1
R00194,U1452,S4,2024-01-29 13:31:00,0,0,0,1,33,clouds,cold,calm,0,0.106,1.0,0.043,0
R00195,U1944,S3,2024-05-24 18:42:00,4,0,0,5,21,sun,mild,calm,0,0.178,1.0,0.044,0
R00196,U1104,S2,2024-01-31 08:41:00,2,0,0,1,12,clouds,cold,calm,0,0.238,1.0,0.232,0
R00197,U2455,S4,2024-05-06 23:15:00,0,0,0,5,18,sun,cold,breezy,0,0.106,1.0,0.02,0
R00198,U1551,S1,2024-06-11 13:16:00,1,0,0,6,123,sun,warm,calm,0,0.818,0.993,0.152,0
R00199,U2940,S2,2024-03-30 22:30:00,5,1,0,3,24,sun,mild,calm,0,0.238,1.0,0.107,1
R00200,U1457,S1,2024-03-28 06:06:00,3,0,0,3,43,sun,mild,calm,0,0.818,1.0,0.108,0
R00201,U2664,S5,2024-03-18 17:19:00,0,0,0,3,11,sun,warm,breezy,0,0.0,1.0,0.056,0
R00202,U1664,S2,2024-03-08 11:41:00,4,0,0,3,26,sun,mild,calm,0,0.238,1.0,0.02,0
R00203,U1421,S1,2024-03-09 18:12:00,5,1,0,3,14,sun,mild,calm,0,0.818,1.0,0.307,1
R00204,U2876,S1,2024-04-09 13:11:00,1,0,0,4,17,clouds,mild,breezy,0,0.818,0.967,0.198,0
R00205,U1960,S2,2024-06-10 20:56:00,0,0,0,6,22,sun,mild,calm,0,0.238,1.0,0.086,1
R00206,U1533,S4,2024-06-25 18:12:00,1,0,0,6,54,clouds,warm,calm,0,0.106,1.0,0.079,0
R00207,U2369,S2,2024-06-04 19:36:00,1,0,0,6,42,sun,warm,breezy,0,0.238,1.0,0.154,1
R00208,U1615,S1,2024-01-22 06:11:00,0,0,0,1,19,clouds,cold,calm,0,0.818,1.0,0.102,1
R00209,U2909,S2,2024-02-25 08:53:00,6,1,0,2,32,rain,cold,breezy,0,0.238,0.961,0.033,0
R00210,U2894,S1,2024-05-16 21:44:00,3,0,0,5,28,sun,mild,calm,0,0.818,1.0,0.087,0
R00211,U2722,S3,2024-04-08 21:43:00,0,0,0,4,19,sun,mild,windy,0,0.178,1.0,0.054,0
R00212,U1879,S4,2024-03-01 09:18:00,4,0,0,3,12,wind,mild,windy,0,0.106,0.996,0.128,0
R00213,U2537,S1,2024-02-26 08:38:00,0,0,0,2,47,rain,cold,windy,0,0.818,1.0,0.247,1
R00214,U2867,S1,2024-01-22 06:44:00,0,0,0,1,41,clouds,cold,calm,0,0.818,1.0,0.087,1
R00215,U2580,S2,2024-02-29 09:38:00,3,0,0,2,28,sun,mild,windy,0,0.238,0.974,0.159,0
R00216,U1381,S5,2024-03-16 09:34:00,5,1,0,3,21,sun,mild,calm,0,0.0,0.978,0.168,1
R00217,U1995,S4,2024-03-15 18:32:00,4,0,0,3,25,sun,mild,calm,0,0.106,1.0,0.046,1
R00218,U1711,S2,2024-04-08 08:30:00,0,0,0,4,28,sun,cold,windy,0,0.238,0.995,0.111,1
R00219,U2121,S1,2024-02-19 17:34:00,0,0,0,2,43,rain,cold,calm,0,0.818,1.0,0.003,1
R00220,U1351,S1,2024-02-07 21:54:00,2,0,0,2,24,rain,mild,calm,0,0.818,1.0,0.228,0
R00221,U1531,S1,2024-06-08 09:14:00,5,1,0,6,20,sun,warm,calm,0,0.818,1.0,0.047,0
R00222,U1601,S1,2024-03-13 11:34:00,2,0,0,3,30,rain,warm,breezy,0,0.818,1.0,0.015,0
R00223,U2951,S3,2024-02-15 20:49:00,3,0,0,2,28,clouds,mild,calm,0,0.178,1.0,0.027,0
R00224,U1038,S1,2024-04-24 09:14:00,2,0,0,4,36,clouds,mild,breezy,0,0.818,1.0,0.09,0
R00225,U2563,S1,2024-04-07 18:06:00,6,1,0,4,9,clouds,cold,calm,0,0.818,1.0,0.036,0
R00226,U1089,S1,2024-04-13 21:59:00,5,1,0,4,20,sun,mild,calm,0,0.818,1.0,0.08,1
R00227,U1137,S3,2024-02-09 09:46:00,4,0,0,2,27,sun,cold,calm,0,0.178,1.0,0.078,0
R00228,U1214,S4,2024-05-10 18:18:00,4,0,0,5,15,sun,warm,breezy,0,0.106,1.0,0.02,1
R00229,U2301,S5,2024-02-04 11:03:00,6,1,0,2,31,clouds,cold,calm,0,0.0,0.937,0.07,0
R00230,U1863,S4,2024-05-30 08:28:00,3,0,0,5,17,sun,mild,calm,0,0.106,1.0,0.106,0
R00231,U2374,S1,2024-03-17 22:42:00,6,1,0,3,22,clouds,mild,calm,1,0.818,1.0,0.03,1
